Data_Hora,LBA10CP001,LBA10CP951A,LBA10CF001A,LBA10CF001B,LAB60CT002,LAB60CT003,LBA10CF901,JEA10CL901,LAB60CF901,LAB60CF001A,LAB60CF001B
27/07/2022 04:00:00,73.13835,73.17069,291.87442,293.01364,189.52756,189.85825,0.00,12.16421,0.00,1.4553,1.092861141
27/07/2022 04:06:00,74.33606,74.37511,289.60223,290.93585,189.52756,189.8369,0.00,12.19843,0.00,1.19543,0.732026438
27/07/2022 04:12:00,73.50288,73.54626,289.03418,290.46838,189.46336,189.77287,0.00,12.23015,0.00,1.29938,0.607672437
27/07/2022 04:18:00,73.91947,73.96069,292.59741,293.74081,189.48476,189.79422,0.00,12.19905,0.00,1.29938,1.004496948
27/07/2022 04:24:00,73.84135,73.87003,292.08099,293.53305,189.61314,189.90092,0.00,12.20091,0.00,1.4553,0.703131784
27/07/2022 04:30:00,74.43153,74.4528,292.70068,293.94861,189.69876,189.9863,0.00,12.21709,0.00,1.19543,1.086317112
27/07/2022 04:36:00,73.85004,73.87003,292.13266,293.63693,189.65594,189.9436,0.00,12.2401,0.00,1.35135,2.100040353
27/07/2022 04:42:00,73.53759,73.58511,291.66788,292.96167,189.69876,189.9863,0.00,12.23388,0.00,1.35135,1.277985658
27/07/2022 04:48:00,74.6138,74.62115,291.66788,292.85779,189.61314,189.9436,0.00,12.20029,0.00,1.4553,1.224044029
27/07/2022 04:54:00,73.94551,73.96069,291.15146,292.44226,189.57036,189.90092,0.00,12.23077,0.00,1.29938,1.699720034
27/07/2022 05:00:00,73.76325,73.79233,289.60223,291.19562,189.61314,189.9436,0.00,12.20651,0.00,1.4553,1.760935683
27/07/2022 05:06:00,74.34474,74.37511,291.77115,293.68887,189.52756,189.8369,0.00,12.2401,0.00,1.29938,2.132372637
27/07/2022 05:12:00,73.53759,73.57216,291.51294,292.59808,189.48476,189.79422,0.00,12.25068,0.00,1.55925,1.836318515
27/07/2022 05:18:00,74.82209,74.85427,292.64905,294.31223,189.44197,189.79422,0.00,12.20651,0.00,1.55925,1.871370894
27/07/2022 05:24:00,73.63306,73.66282,290.89328,292.13058,189.44197,189.75154,0.00,12.22828,0.00,1.35135,1.270126744
