Data_Hora;LBA10CP001;LBA10CP951A;LBA10CF001A;LBA10CF001B;LAB60CT002;LAB60CT003;LBA10CF901;JEA10CL901;LAB60CF901;LAB60CF001A;LAB60CF001B
27/07/2022 03:54;72.50479;72.53612;285.0062;286.41678;188.35063;188.64175;293.2015175;12.19656;1.490880684;1.50728;1.40174
27/07/2022 04:00;73.13835;73.17069;291.87442;293.01364;189.52756;189.85825;301.7109597;12.16421;1.305038064;1.4553;1.09286
27/07/2022 04:06;74.33606;74.37511;289.60223;290.93585;189.52756;189.8369;302.4859021;12.19843;0.987161142;1.19543;0.73203
27/07/2022 04:12;73.50288;73.54626;289.03418;290.46838;189.46336;189.77287;299.8600853;12.23015;0.976755548;1.29938;0.60767
27/07/2022 04:18;73.91947;73.96069;292.59741;293.74081;189.48476;189.79422;304.4518705;12.19905;1.179964614;1.29938;1.0045
27/07/2022 04:24;73.84135;73.87003;292.08099;293.53305;189.61314;189.90092;303.8617606;12.20091;1.105413881;1.4553;0.70313
27/07/2022 04:30;74.43153;74.4528;292.70068;293.94861;189.69876;189.9863;305.8904119;12.21709;1.168482586;1.19543;1.08632
27/07/2022 04:36;73.85004;73.87003;292.13266;293.63693;189.65594;189.9436;303.9534698;12.2401;1.767459266;1.35135;2.10004
27/07/2022 04:42;73.53759;73.58511;291.66788;292.96167;189.69876;189.9863;302.6060454;12.23388;1.346480924;1.35135;1.27799
27/07/2022 04:48;74.6138;74.62115;291.66788;292.85779;189.61314;189.9436;305.2278186;12.20029;1.372145657;1.4553;1.22404
27/07/2022 04:54;73.94551;73.96069;291.15146;292.44226;189.57036;189.90092;303.0596672;12.23077;1.535907157;1.29938;1.69972
27/07/2022 05:00;73.76325;73.79233;289.60223;291.19562;189.61314;189.9436;301.1668286;12.20651;1.647074386;1.4553;1.76094
27/07/2022 05:06;74.34474;74.37511;291.77115;293.68887;189.52756;189.8369;305.0614835;12.2401;1.757516088;1.29938;2.13237
27/07/2022 05:12;73.53759;73.57216;291.51294;292.59808;189.48476;189.79422;302.3212354;12.25068;1.739055998;1.55925;1.83632
27/07/2022 05:18;74.82209;74.85427;292.64905;294.31223;189.44197;189.79422;307.062296;12.20651;1.757025531;1.55925;1.87137
27/07/2022 05:24;73.63306;73.66282;290.89328;292.13058;189.44197;189.75154;301.993349;12.22828;1.342649735;1.35135;1.27013
27/07/2022 05:30;74.17117;74.21969;289.86044;291.14368;189.48476;189.79422;302.3252075;12.20465;1.360154473;1.61123;1.04445
27/07/2022 05:36;73.86739;73.89593;291.09982;292.39029;189.44197;189.75154;302.8253246;12.21833;1.507608993;1.55925;1.3843
27/07/2022 05:42;74.26663;74.29739;290.68668;292.07864;189.44197;189.77287;303.4603968;12.20465;1.488108957;1.61123;1.29425
27/07/2022 05:48;74.16248;74.19379;291.56458;292.70197;189.39917;189.75154;303.9789402;12.23948;1.333025274;1.55925;1.04336
27/07/2022 05:54;74.14513;74.16789;290.42847;291.87085;189.52756;189.8369;302.9008423;12.21398;1.324321361;1.29938;1.28645
27/07/2022 06:00;73.77193;73.81822;290.37683;291.5592;189.48476;189.79422;301.8005952;12.24757;1.727375913;1.35135;2.02145
27/07/2022 06:06;73.50288;73.53331;290.53177;291.81891;189.52756;189.85825;301.3174631;12.23077;1.198481888;1.50728;0.83279
27/07/2022 06:12;74.75266;74.76362;291.40967;292.70197;189.44197;189.79422;305.368391;12.21522;1.467749347;1.61123;1.25451
27/07/2022 06:18;74.29267;74.3233;290.53177;292.13058;189.46336;189.75154;303.4724314;12.22766;1.275555987;1.50728;0.98318
27/07/2022 06:24;73.6157;73.64987;290.73834;291.87085;189.39917;189.75154;301.7403498;12.22206;2.019892199;1.61123;2.33258
27/07/2022 06:30;74.01494;74.03839;290.3252;291.87085;189.48476;189.79422;302.5194731;12.21336;1.208878737;1.2474;1.11295
27/07/2022 06:36;74.81341;74.84132;291.40967;292.75391;189.48476;189.79422;305.5712331;12.19905;1.374746015;1.35135;1.33287
27/07/2022 06:42;74.35342;74.37511;290.42847;291.81891;189.46336;189.79422;303.3983972;12.2202;1.823723048;1.35135;2.20957
27/07/2022 06:48;74.58775;74.62115;290.68668;291.92279;189.48476;189.79422;304.1943459;12.21398;1.302675347;1.55925;0.9842
27/07/2022 06:54;73.85004;73.88298;290.3252;291.92279;189.46336;189.75154;302.1425047;12.23139;1.681035711;1.50728;1.77494
27/07/2022 07:00;73.55495;73.58511;298.07135;299.35074;189.82715;190.11433;309.249887;12.22455;1.97853355;1.8711;1.99279
27/07/2022 07:06;73.33797;73.36496;309.38071;311.81717;191.43204;191.77902;320.9699965;12.2345;1.040432701;1.50728;0.52643
27/07/2022 07:12;72.36592;72.39366;328.17798;326.46527;193.29372;193.63577;335.5054699;12.23575;1.879027874;1.35135;2.32583
27/07/2022 07:18;73.16439;73.20955;334.47818;335.29568;194.72742;195.04434;345.5926853;12.22828;1.888093027;1.40333;2.29466
27/07/2022 07:24;71.68027;71.73318;341.13989;342.2561;195.81876;196.19681;348.262826;12.23948;1.872567451;1.55925;2.11073
27/07/2022 07:30;71.06406;71.11156;356.47723;357.52753;197.38086;197.71208;361.9655259;12.20776;1.227141367;1.55925;0.84785
27/07/2022 07:36;70.7603;70.8137;369.54236;370.40952;198.90015;199.20602;374.1665929;12.22891;1.3811764;1.29938;1.41236
27/07/2022 07:42;69.73617;69.80355;382.45258;382.87598;200.52644;200.84937;383.6767649;12.21646;1.327674395;1.19543;1.41379
27/07/2022 07:48;68.66865;68.71571;397.42847;397.83575;202.00296;202.27927;395.0463697;12.21709;2.0608672;1.61123;2.44241
27/07/2022 07:54;68.29545;68.37899;409.25424;410.25024;203.43666;203.77321;405.8578266;12.19469;1.471569913;1.35135;1.54564
27/07/2022 08:00;67.6532;67.73146;422.11282;423.13226;204.69919;205.01105;416.3072919;12.21771;1.801353147;1.50728;2.04158
27/07/2022 08:06;66.84605;66.94147;430.16882;431.23541;205.36255;205.73666;421.3773665;12.20216;1.494634847;1.2474;1.69841
27/07/2022 08:12;67.17585;67.26524;432.02786;433.10541;205.59792;205.86473;424.387155;12.22517;1.733070928;1.50728;1.90881
27/07/2022 08:18;67.13245;67.21343;434.09351;435.1312;205.38394;205.69398;426.220483;12.21336;1.133212496;1.40333;0.83004
27/07/2022 08:24;66.92416;66.98032;434.30005;435.3909;205.12715;205.3952;425.6440507;12.21833;1.607536551;1.2474;1.92039
27/07/2022 08:30;67.6098;67.67966;432.95743;434.19623;204.87038;205.18178;426.9241847;12.20216;1.659367664;1.29938;1.9701
27/07/2022 08:36;67.4883;67.589;432.02786;433.26123;204.82758;205.1391;425.6201644;12.2258;0.87309656;1.29938;0.42074
27/07/2022 08:42;66.99359;67.08393;433.68039;434.55984;204.87038;205.18178;425.2490205;12.23015;1.606897708;1.29938;1.86671
27/07/2022 08:48;66.9068;66.99328;432.28607;433.72873;204.87038;205.18178;423.8370294;12.21149;1.052255254;1.4553;0.61786
27/07/2022 08:54;67.52301;67.61491;432.95743;433.93649;204.87038;205.18178;426.5199844;12.20091;2.032594177;1.50728;2.49759
27/07/2022 09:00;67.05434;67.17458;431.66641;432.79376;204.87038;205.1391;423.6722218;12.23637;2.12341254;1.61123;2.57251
27/07/2022 09:06;67.14981;67.22639;433.62875;434.45593;204.87038;205.22446;425.7166603;12.22144;2.040299356;1.8711;2.14894
27/07/2022 09:12;67.28867;67.4336;430.37537;431.18347;204.87038;205.18178;423.1424827;12.21273;1.712495828;1.6632;1.7109
27/07/2022 09:18;67.20189;67.30409;438.79285;439.4425;209.89905;210.26117;430.9338854;12.21958;1.858643735;1.55925;2.11383
27/07/2022 09:24;67.75735;67.83507;434.91977;436.22202;210.36981;210.68802;429.4432111;12.20589;1.077408544;1.55925;0.57038
27/07/2022 09:30;67.21925;67.30409;435.64273;436.7934;210.28421;210.60265;428.1201686;12.23202;1.440257318;1.61123;1.23556
27/07/2022 09:36;67.41886;67.5113;438.79285;439.65027;210.32701;210.68802;431.8185646;12.20154;1.418301387;1.55925;1.24425
27/07/2022 09:42;67.4883;67.60196;434.55829;435.3909;210.28421;210.60265;427.9360352;12.20589;1.660993533;1.50728;1.77588
27/07/2022 09:48;67.14981;67.26524;433.68039;435.02731;210.24142;210.55997;426.0932348;12.2258;1.14395835;1.55925;0.70177
27/07/2022 09:54;67.88754;67.97752;435.28125;436.48172;210.36981;210.68802;430.2501414;12.22766;1.975048332;1.50728;2.3969
