Data_Hora,LBA10CP001,LBA10CP951A,LBA10CF001A,LBA10CF001B,LAB60CT002,LAB60CT003,LBA10CF901,JEA10CL901,LAB60CF901,LAB60CF001A
26/09/2018 00:07,66.36002,66.66951,536.03265,536.42114,217.66675,217.92293,0,12.23388,526.87128,526.87128
26/09/2018 00:07,66.31662,66.68246,535.77448,536.62891,217.66675,217.92293,0,12.23948,525.15607,525.15607
26/09/2018 00:08,66.29926,66.65656,536.39417,536.94061,217.64534,217.92293,0,12.24384,529.98975,529.98975
26/09/2018 00:08,66.29059,66.64362,535.92938,536.68091,217.64534,217.88025,0,12.24446,524.53241,524.53241
26/09/2018 00:08,66.34266,66.68246,536.03265,536.78479,217.66675,217.88025,0,12.2457,520.1145,520.1145
26/09/2018 00:08,66.27323,66.66951,536.03265,537.14838,217.60255,217.88025,0,12.24321,522.71326,522.71326
26/09/2018 00:08,66.25587,66.69541,537.73682,538.2392,217.60255,217.88025,0,12.25566,524.11658,524.11658
26/09/2018 00:08,66.27323,66.65656,535.15479,536.31726,217.60255,217.88025,0,12.24259,519.90662,519.90662
26/09/2018 00:09,66.24719,66.63066,535.51624,536.42114,217.60255,217.88025,0,12.24943,520.58228,520.58228
26/09/2018 00:09,66.22115,66.60476,537.2204,537.66779,217.62395,217.88025,0,12.24508,520.37439,520.37439
26/09/2018 00:09,66.27323,66.64362,536.39417,536.83673,217.60255,217.88025,0,12.24321,524.94818,524.94818
26/09/2018 00:09,66.28191,66.63066,535.98102,536.73285,217.60255,217.88025,0,12.24632,523.5968,523.5968
26/09/2018 00:09,66.3253,66.68246,535.92938,536.83673,217.62395,217.88025,0,12.24259,526.19556,526.19556
26/09/2018 00:09,66.26455,66.68246,535.25806,536.3692,217.60255,217.88025,0,12.2345,520.1665,520.1665
26/09/2018 00:10,66.29926,66.68246,538.76965,539.12219,217.64534,217.92293,0,12.24632,524.7403,524.7403
26/09/2018 00:10,66.28191,66.68246,535.92938,537.3042,217.66675,217.92293,0,12.2401,529.26208,529.26208
26/09/2018 00:10,66.29926,66.65656,536.96222,537.46002,217.64534,217.96564,0,12.24197,525.10413,525.10413
26/09/2018 00:10,66.33398,66.69541,536.18762,536.94061,217.66675,217.92293,0,12.23948,524.53241,524.53241
26/09/2018 00:10,66.29059,66.69541,535.72284,536.31726,217.64534,217.96564,0,12.23202,516.26837,516.26837
26/09/2018 00:10,66.29059,66.65656,537.37531,537.66779,217.66675,217.96564,0,12.23762,526.4035,526.4035
26/09/2018 00:11,66.35134,66.65656,538.04669,538.55084,217.68814,217.96564,0,12.23326,516.73608,516.73608
26/09/2018 00:11,66.25587,66.63066,536.75562,537.35614,217.70953,217.94427,0,12.22891,519.2309,519.2309
26/09/2018 00:11,66.26455,66.63066,537.47858,538.08337,217.68814,217.96564,0,12.23388,523.96069,523.96069
26/09/2018 00:11,66.30795,66.66951,535.41296,536.68091,217.66675,217.96564,0,12.22082,523.18103,523.18103
26/09/2018 00:11,66.27323,66.63066,537.78845,538.60278,217.66675,217.92293,0,12.2258,522.45343,522.45343
26/09/2018 00:11,66.25587,66.72132,537.78845,538.13531,217.66675,217.92293,0,12.22766,516.06042,516.06042
26/09/2018 00:12,66.28191,66.69541,537.78845,538.34308,217.64534,217.92293,0,12.22082,527.02722,527.02722
26/09/2018 00:12,66.26455,66.64362,537.68518,537.09644,217.66675,217.92293,0,12.21833,525.00012,525.00012
26/09/2018 00:12,66.28191,66.63066,536.85895,537.66779,217.66675,217.92293,0,12.21273,525.15607,525.15607
26/09/2018 00:12,66.27323,66.59181,536.29089,537.3042,217.60255,217.92293,0,12.21273,520.21844,520.21844
26/09/2018 00:12,66.33398,66.66951,534.22522,535.53809,217.66675,217.92293,0,12.22206,522.92114,522.92114
26/09/2018 00:12,66.29926,66.65656,535.77448,536.47308,217.64534,217.92293,0,12.22082,522.40137,522.40137
26/09/2018 00:13,66.30795,66.66951,535.61957,536.47308,217.66675,217.88025,0,12.22766,523.02509,523.02509
26/09/2018 00:13,66.25587,66.66951,536.80731,537.51196,217.66675,217.92293,0,12.21522,519.2309,519.2309
26/09/2018 00:13,66.22984,66.63066,538.09833,538.44696,217.66675,217.92293,0,12.22642,528.58643,528.58643
26/09/2018 00:13,66.27323,66.63066,534.84497,538.65472,217.66675,217.92293,0,12.2258,520.68622,520.68622
26/09/2018 00:13,66.27323,66.63066,536.85895,537.66779,217.64534,217.92293,0,12.2202,524.7403,524.7403
26/09/2018 00:13,66.28191,66.63066,537.78845,538.60278,217.64534,217.92293,0,12.22455,522.24548,522.24548
26/09/2018 00:14,66.22984,66.66951,537.2204,537.25226,217.64534,217.92293,0,12.2258,523.54486,523.54486
26/09/2018 00:14,66.29059,66.69541,536.03265,536.88867,217.64534,217.96564,0,12.21833,526.92328,526.92328
26/09/2018 00:14,66.23851,66.70837,537.16876,537.61584,217.64534,217.96564,0,12.23139,528.89832,528.89832
26/09/2018 00:14,66.30795,66.66951,536.65234,536.88867,217.64534,217.96564,0,12.22517,522.08954,522.08954
26/09/2018 00:14,66.34266,66.65656,534.43176,535.59003,217.64534,217.92293,0,12.22455,523.28497,523.28497
26/09/2018 00:14,66.24719,66.64362,539.80243,538.86249,217.66675,217.92293,0,12.22766,529.72992,529.72992
26/09/2018 00:15,66.25587,66.68246,536.03265,536.99255,217.66675,217.96564,0,12.22642,522.29742,522.29742
26/09/2018 00:15,66.29059,66.69541,537.94342,538.2392,217.64534,217.96564,0,12.2258,523.96069,523.96069
26/09/2018 00:15,66.3687,66.66951,536.03265,536.47308,217.66675,218.00832,0,12.22455,522.50537,522.50537
26/09/2018 00:15,66.33398,66.64362,537.27203,537.66779,217.66675,217.96564,0,12.2258,517.51575,517.51575
26/09/2018 00:15,66.28191,66.70837,539.54425,540.10913,217.68814,217.96564,0,12.22517,518.34735,518.34735
26/09/2018 00:15,66.33398,66.64362,538.25323,538.91443,217.64534,217.96564,0,12.21833,525.67584,525.67584
26/09/2018 00:16,66.29059,66.59181,537.78845,538.86249,217.64534,217.92293,0,12.2258,522.14154,522.14154
26/09/2018 00:16,66.30795,66.63066,538.40814,537.35614,217.64534,217.92293,0,12.2202,521.41388,521.41388
26/09/2018 00:16,66.27323,66.63066,535.05151,536.1095,217.66675,217.92293,0,12.21398,531.60101,531.60101
